year,natural gas CCS,natural gas,oil CCS,oil,coal CCS,coal,nuclear,renewables,biomass,biomass CCS
2010,0.0,117.94547413243694,0.0,177.94539097012938,0.0,145.68880395603145,10.331026285565953,14.227113330947853,54.217878467016945,0.0
2015,0.0,131.37648577225423,0.0,187.49208480135115,0.0,168.61317601612672,11.19986572495348,15.517755750739525,55.871387286455075,0.0
2020,0.0,145.8108605327887,0.0,200.6018287410872,0.0,191.20088290358242,12.215754290610304,17.141463457351513,59.958142697384595,0.0
2025,20.55255108622247,119.96363420156266,8.703278876484621,196.15250190098612,22.51025514448051,103.19078038594708,24.72372100761199,26.73246175462727,83.97436186482463,14.93935974585098
2030,47.99809359112908,100.92785315537029,17.238646816250313,187.40984277561526,51.90114638297331,32.496690739762336,41.349741184804394,40.80545557390738,76.29627542316948,61.907466636517285
2035,72.85721377700283,71.55043911888829,23.60962448138015,161.83435906196868,66.80225217807636,9.571781466593519,55.864681045343076,55.57240784744415,56.918063455510676,154.63649504749966
2040,89.53015747145801,62.1658135001577,23.84714042460812,143.10327988849974,71.11141846754319,6.085668989907067,66.20930002287199,68.97062649089433,48.64575888127676,192.06352697324195
2045,101.79170123478106,58.130139266663846,22.95867012477272,126.94111388392149,68.11100460863226,4.4360071702084,76.00122795863138,85.19409893594229,44.76879267455405,213.59867904623374
2050,110.50584125922757,61.43481580854249,22.522008604538613,117.77745716312391,64.98141943708806,3.840083268265256,83.89297344754712,100.32646158722194,42.29137211414372,221.16447784711968
2055,117.97047256269917,61.65441761279234,23.13539600796938,113.7930323163179,59.25404287124145,3.216756230987109,94.09030594159105,112.72852911736351,39.760905875014686,225.5774584447776
2060,126.05594450471922,63.63623342372711,24.08309569820682,115.22263116477434,54.63082563990414,2.7656045450558064,104.32148662970314,121.69971673550177,37.18729095304634,226.7372486542044
2065,132.53540831325418,65.70324609391861,22.900041161288232,119.51680714173595,48.21098339835628,2.3809891573803736,114.27547801709605,131.01927996871146,34.32132162898244,226.80192476717042
2070,129.97511021554942,72.49485030508583,13.38496390027111,115.69883607077244,46.93896533828197,2.2682261148058998,123.247955511771,145.4035007000822,31.682264540665855,225.38618720748698
2075,122.40793388357213,81.1818407082673,8.091695474690786,108.04510831661058,47.929929347982245,2.1958195451569233,131.7751370543472,160.49706479116674,28.89873760106299,225.19819625697414
2080,115.05277757833092,90.50242489282488,5.2336852871412,100.14230803196645,48.39197930323488,2.0969857676792065,138.9729919848681,174.22245063575392,26.338809187123466,225.75453279215648
2085,115.1139759269259,100.1898498401261,3.8297255840896174,93.13898483433556,46.83511682427137,1.9769312394659189,137.59986667403098,190.19120393335106,23.69713731155604,226.2206762407936
2090,118.84115031420929,109.99801377014738,2.934101799615983,87.0286359936908,44.99676605706894,1.8500453407992583,131.76571028609507,205.6325718745912,20.9368550720207,226.29312975353105
2095,122.52301044668914,118.76093432358681,2.2669552369055848,81.5289632777578,44.302350197899074,1.7095741549870371,126.35131472406056,217.83807149449387,18.67330321623961,226.1541865388844
2100,127.56400157391909,127.79767228490324,2.0459447586351858,77.9223187900897,44.091197478723345,1.5777779181078726,122.71323775768325,224.79497406925768,16.805128220993723,226.3773782001669
