year,food crop,non-food crop,bioenergy crop cultivation
2010,82.8771527016858,21.555544653284954,0.0
2015,88.40029911080427,23.62118548368589,0.0
2020,93.14391433582144,25.309294556624288,1.0927988598298075
2025,97.14462641947506,26.9443982160333,5.1322829362655416
2030,100.746689804397,28.75570731331604,16.133952562208936
2035,101.82141940583331,29.98368852717862,36.4047102582977
2040,102.58448719249611,30.532660886933755,42.69429028653959
2045,103.35989196231762,30.85546454413498,45.174444055162795
2050,104.49010874720143,31.519766500394137,45.0260345470537
2055,104.37091845719647,31.39294279039338,44.12078130375922
2060,104.10321094801368,31.299871511241527,42.923227096970635
2065,103.59758083431367,31.139607344228388,41.720539704313005
2070,103.10800681295274,30.95163055857838,40.69019289492703
2075,102.40083412588032,30.761241429264775,40.062088863452416
2080,101.5127467805053,30.477300928618327,39.63598532274836
2085,100.46170953887105,30.119184762388294,39.30320384676218
2090,99.26508822361795,29.732972384655454,38.9920581919251
2095,97.95623521555466,29.32395355495436,38.607988733875
2100,96.54193508809387,28.874968476421706,38.424553854904595
