year,food crop,meat and dairy,non-food crop,electricity,industry,municipal water,bioelectricity CCS,bioenergy crop cultivation
2010.0,785.7488450213042,65.3051765117839,265.8005343999087,84.87466955654176,52.19953920449499,61.80564700000001,0.0,0.0
2015.0,848.8847594203893,71.93390709615983,286.7577636402136,91.28204405065145,58.198211170645976,66.043299,0.0,0.0
2020.0,907.9997210120528,78.72442989867046,306.43325965805724,98.57710100486635,64.33845817637612,70.765458,0.0,2.9908675475894206
2025.0,970.1312112148357,85.32366785457499,326.43639732261533,105.94032868359946,64.48078708796959,75.73114,1.0943884429905095,16.681128076471985
2030.0,1021.5232283355679,91.38675682024402,347.01010443751056,116.73660656503357,66.9165190072864,79.85729099999998,4.220236055419422,60.80817460637251
2035.0,1053.5445237598713,95.69536146557998,356.5002168142199,131.40685118128062,68.05366101466466,82.879572,7.981179282945949,152.85642365583354
2040.0,1054.1629451717026,99.83333045240003,348.05192880864274,145.23534998335924,69.57760548273758,85.570022,9.988644670175773,184.64276083387185
2045.0,1067.217073462257,103.68326905205699,339.7510198739763,157.0052320081456,71.29920050249206,87.68242600000002,11.12717082274845,200.32369296290958
2050.0,1093.2746740629536,107.94067384993305,344.93060625981985,167.3240740604265,73.47439843199432,89.186233,11.620131910848741,203.78633203588242
2055.0,1100.8957297730112,107.91923901164401,347.3133601806669,178.4067083793712,75.67579966354737,90.548394,12.02369192214642,201.58801168130813
2060.0,1106.1421074100513,107.88935659504898,348.92890852445424,189.09052891889186,78.17478440556526,91.769862,12.537228025606982,197.23751362324225
2065.0,1102.9426047363308,107.61405649833,346.7603232176539,197.5993452643265,80.33978730439853,92.632937,13.628442064701499,190.04719599397882
2070.0,1098.8993767390339,107.32117163312904,344.8595319271598,204.35094650508145,80.65751747439427,93.188673,14.486869361446178,185.33676959491132
2075.0,1080.3726749942393,106.79479792611106,342.67207698915934,211.7060276304552,80.72276365645621,93.48326299999998,14.59082407928869,183.20958604476172
2080.0,1068.0037906833218,105.996201775234,340.4851348112999,218.20343359337764,80.67904660275191,93.526978,14.235878066722371,182.29074554312146
2085.0,1036.3807073534276,105.00272800182502,336.7136827257207,221.72354551977548,80.7801913338592,93.23098700000004,13.97220496363629,181.6553741534261
2090.0,1006.9727365421666,103.88400426597902,332.1292051640851,223.4746750389702,80.93610525206901,92.675567,13.712902597926565,180.41653929152665
2095.0,984.2497530059275,102.61335468669401,327.49445633465126,225.4063933453348,81.01105317795061,92.002141,13.258951499485343,177.52177774868838
2100.0,966.5977097839525,101.23986823885699,322.5547478297468,225.6601103887615,80.9293278430551,91.114211,13.359302778937883,176.89424098260278
