year,food crop,non-food crop,bioenergy crop cultivation
2010,82.8771527016858,21.555544653284954,0.0
2015,88.40022681918617,23.621103592137622,0.0
2020,93.14383837715314,25.309203812200835,1.0928013762895257
2025,97.56057365666496,26.983162067140512,2.3222228254295425
2030,101.31417580107178,28.631453544875228,4.377878488861761
2035,103.82562031306013,30.33363497384577,9.798064574686821
2040,105.45093536732325,31.34613810369121,19.783382521675488
2045,106.23709143790671,32.10898771256383,29.631575949296703
2050,107.4467651082136,33.026232796173964,31.829952492465424
2055,107.40666784613065,33.166282519352286,32.426209266274554
2060,107.1389487915927,33.36921477889,32.708645087186035
2065,106.53316982584867,33.21150104219488,32.54391605212764
2070,105.74205479024766,33.11364715709746,32.01632796717264
2075,104.76811798299575,32.95406515593437,31.665154826846123
2080,103.60767982298538,32.72644828607229,31.573757272384892
2085,102.34029770737233,32.439617627109016,31.605256419839634
2090,100.95608732836126,32.116909713781816,31.64861912457234
2095,99.57611494590745,31.745133428189845,31.372016646103315
2100,98.18598779549157,31.43096307224523,30.555763203803398
