year,natural gas CCS,natural gas,oil CCS,oil,coal CCS,coal,nuclear,renewables,biomass,biomass CCS,dac process heat
2010,0.0,117.94878196060458,0.0,177.94782917961018,0.0,145.69068269389945,10.331143068848064,14.22737345146538,54.222855015290804,0.0,0.0
2015,0.0,131.3875326124315,0.0,187.5039214483766,0.0,168.62071969050203,11.19998478756593,15.518254938387702,55.87998285772459,0.0,0.0
2020,0.0,145.8419141084754,0.0,200.62458789426464,0.0,191.2356139331074,12.215888324986476,17.142196686024267,59.99110721373873,0.0,0.0
2025,2.2131649552313712,157.76527563268237,1.97475488386192,214.9518507388689,0.28053862312863553,206.24692068271176,13.142871961782815,19.24172632740118,66.67420884757706,0.9317903427919854,0.0
2030,8.119989779017951,166.64672831536978,4.445461097383953,222.6888744260304,1.7006533286861405,188.99454251341743,15.385307115438733,23.032954186543325,81.63109202212054,3.3522219959847286,0.0
2035,31.20232983114911,144.70131651837642,12.6189755610824,210.89236077114367,24.64998095496311,120.56276008687142,29.20236166001395,36.83219064424235,92.28926151214984,22.624344084788323,0.0
2040,60.350158518966346,123.44406908389617,19.448165585684585,193.27562735090905,54.30532549735325,41.27757428769435,47.353685413601504,54.77281837636012,82.22793635375493,68.61920332405549,1.08674e-10
2045,86.04318850754598,120.87639305561186,23.805534954623784,173.0733126081416,70.10993040957652,14.676935009774814,60.388284346445296,73.44716777005716,65.13082667867711,123.30055485743584,18.465451291004328
2050,100.97170504794076,174.31557375868385,21.841435672654647,167.9218585978306,78.92458258547177,14.134257181545172,67.69379868467385,87.83026394916791,59.157818603274904,138.94439129151363,65.33792678789135
2055,111.93453175461953,205.227264398172,20.231747854671603,167.52562914991978,83.09773048783241,13.256540465873403,74.08177339640447,101.01429560205706,54.53972826415877,146.08903172037353,88.43542860230086
2060,126.68039684944642,237.9650886197772,19.16634536716587,167.07127249299612,85.92097178984638,12.31235138991071,79.83639445884984,114.86705348612851,49.768353350901975,151.5626465611756,111.85964350078459
2065,133.52506489342593,257.3230346737083,14.80618170855464,167.08470581574258,94.02166055188513,11.690895867302974,89.45976392939033,123.25492909996687,48.26111530201386,152.8960537358763,123.82297986555344
2070,144.27447789341204,278.2675099231853,11.114237006764666,164.6297943619031,99.78294506251629,10.939082856424783,97.56525781399914,129.29835212177466,45.82816918772515,151.75508222188762,132.44103478896238
2075,148.5107092089052,295.37076612294896,8.553697972175831,161.10345687819756,104.60305801927878,9.89423831125216,104.14915892673592,138.3714578449238,44.43489812498089,151.38285820885486,139.02311809964942
2080,135.45897778617945,307.99124949208834,6.847608850998836,158.22073406137181,110.02768910538781,9.010383460142432,111.0231445053803,152.39024959703067,42.941832603432786,152.5060817576779,141.93317081356957
2085,116.98821803727986,321.1184023025363,5.535638112644309,156.4237782321175,115.91187645630319,8.309569945926388,117.93984627182668,166.68235807042146,40.6648055292351,154.52817368663202,144.48846601027378
2090,103.95003457781442,333.9133436278826,4.638488074734137,155.92999890682208,119.3642959035397,7.705566981372431,122.4731524930305,179.357100148411,36.73212873678192,156.59622299441628,147.04626900989982
2095,101.20490547090563,347.62034170554136,3.9473625627387814,156.63226900587784,108.73333176151822,7.157763093720195,119.48514087412295,196.59423504848772,32.219759389209976,156.83819860460986,149.96457101225968
2100,106.19152463316874,363.8634759147827,3.921313236940709,157.8737534085001,92.17755288811163,6.675091860488022,112.11963532629198,214.91104274418117,28.161978259409057,153.64433720163146,154.20965502251443
