region_crop,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa_Eastern,1.0,1.0,1.0,1.0332156972599167,1.0610436532264045,1.3664424825555037,1.8925775739911388,3.077901175533601,4.138390898120621,4.678980011908248,5.099894817007877,5.6280946078824705,6.105003762900948,6.51222100361319,6.919989539530146,7.3271923938034424,7.726050010510175,8.078455905816204,8.362280229165254,8.605934715980764,8.836484430120015
Africa_Northern,0.9999999999999999,1.0,1.0,0.9840779961468338,0.9823208138714373,1.0699602717260843,1.254427866344869,1.83166933803592,2.3305315901360064,2.5663586544435892,2.728623564012377,2.8826775540005496,2.9999469458833885,3.0757634929060425,3.157262984067909,3.247039152283626,3.334152045248265,3.398207251714725,3.430464582220188,3.4422903972982803,3.458772481692264
Africa_Southern,1.0,1.0000000000000002,1.0,1.010463975204745,0.9934834573282185,1.5550845019833728,2.3422628478085414,4.044297714766786,5.548525300134416,6.25868972469381,6.773270587042435,7.466247041292006,8.110553181182173,8.660413618167174,9.21727037631245,9.781798224599365,10.342207337186826,10.850396554409976,11.270634954048477,11.637829929620816,11.984855754565984
Africa_Western,1.0,1.0000000000000002,1.0,1.038003138945166,1.090345699594865,1.5423459100953156,2.389262585012061,4.493764162271811,6.42884232668923,7.470120802472416,8.318479783828366,9.304328811789192,10.194324686579431,10.960120884808152,11.747640170875462,12.555088601414996,13.357455179179967,14.082319398461424,14.682407001581131,15.205781707873168,15.708734990990589
Argentina,0.9999999999999998,0.9999999999999999,0.9999999999999999,1.0105114609759676,1.0141257567948831,1.13974597414121,1.3976645423716545,2.161892980201598,2.794522787982178,3.081388901667733,3.285152251731076,3.452536742523684,3.585092981089681,3.6804845683346583,3.7991269199286517,3.929515734720569,4.05180043312324,4.147088859682782,4.207840624816512,4.23996940770499,4.275539933127781
Australia_NZ,1.0,1.0,1.0,0.9611153698800745,0.9370571823958648,1.0182044057511483,1.205327635201016,1.820425946846824,2.356232289959814,2.624547326026764,2.8175160796868024,2.9968086177754216,3.1489990469976052,3.2622580525273843,3.382131293422536,3.512481616692897,3.6409351982957308,3.7484942469451608,3.8266828521627785,3.880412173790514,3.933838380180091
Brazil,0.9999999999999999,0.9999999999999999,1.0,0.9810565417474983,0.9671513005396895,1.1029195901285813,1.354603534204576,2.029090934361108,2.63152891731635,2.941857275029436,3.1792957169363083,3.3736522057434195,3.534041334653239,3.6614181203246687,3.783450267323757,3.908667616003607,4.035316539396426,4.142237550946217,4.219411472447171,4.28045463344356,4.3412582328815015
Canada,1.0,1.0,1.0,1.0012217573284947,1.0022220543900227,1.0285014093031701,1.0863714701643996,1.2998352664513706,1.5112666236368617,1.6202833360345479,1.6911709688056085,1.749979614359083,1.8017182495137989,1.8293078889277754,1.8722505871975739,1.9330902240327936,1.9977400706566604,2.0539017925557532,2.0951942783129867,2.1250475176744894,2.148118717586973
Central America and Caribbean,1.0,1.0,1.0000000000000002,0.9751229896632302,0.9704225889468502,1.081775019372154,1.3279102721850864,2.138988040605064,2.788822565407597,3.083280854303624,3.2809309038579735,3.4216796535414225,3.5124814381940515,3.5499046741537725,3.6036348445818005,3.6742996623356783,3.744834444514585,3.783504995347424,3.7757646627364516,3.735792800425358,3.7200407681401058
Central Asia,1.0,1.0,1.0,1.0086718351432813,1.0250882808993023,1.1427673513635177,1.3703172514785364,1.9972504481858016,2.521927880982072,2.773024353709565,2.9525351320199165,3.0984995472485193,3.2111474102496276,3.2906791431811886,3.3781776754586206,3.4709676307954265,3.567719134995737,3.6451593336083405,3.694471874146149,3.724611341576366,3.7580931491632814
China,1.0,1.0,1.0,1.0141365624906098,1.0267449243123723,1.1542652597177538,1.3545212430391045,1.8873424231367295,2.306541214089096,2.4811688457827805,2.583796241323938,2.6365084846767313,2.6603114614705303,2.6517336061730505,2.655476858102606,2.6723923376854297,2.688914936646995,2.688344084691524,2.6656663956446454,2.632018094103181,2.6083564124011147
Colombia,1.0,1.0000000000000002,1.0,0.9904173021498875,0.9929365703013006,1.0587699659035525,1.1949525887044017,1.6119822925861793,1.9702356034722117,2.1397624579191055,2.2441955710304935,2.341378816395206,2.426037260421925,2.470894450623332,2.52464611079955,2.5856370326765705,2.640233837477474,2.68248386374875,2.701958766540819,2.6969398913488356,2.6913867254276753
EU-12,0.9999999999999999,1.0,1.0,0.996008955111082,1.0023768664193262,1.1394476675490908,1.4089243187771483,2.1924674708279923,2.8417107101528396,3.1603496835815115,3.382670081006645,3.5367972105920127,3.6499457227017906,3.713488743573335,3.7936519709651337,3.890375196822342,3.987586506531601,4.061060785398256,4.097807341644096,4.107962019990314,4.125759301669321
EU-15,1.0,1.0,0.9999999999999998,1.0072748155958426,1.0197360881022974,1.1522426833355182,1.4127786718208653,2.191708099287713,2.859070454735354,3.1979500890274024,3.4381794723756225,3.6173901729535736,3.7538241835006656,3.840729241237825,3.9393676211244024,4.0513513287686935,4.161970049627503,4.2446385855407325,4.284566170430292,4.294808324260119,4.311412843040653
Europe_Eastern,1.0,1.0,1.0,0.9937798702865419,0.998018385166591,1.1267305230915972,1.4050955186194765,2.2323614597990282,2.9025156541019994,3.2223753427082977,3.4423881234276257,3.60004152937982,3.7173941928615912,3.786951279875164,3.8831914372044998,4.000607255935764,4.118553417849173,4.2099581504147086,4.260279259384037,4.280016429937934,4.3051135831156735
