year,food crop,meat and dairy,non-food crop,electricity,industry,municipal water,bioelectricity CCS,bioenergy crop cultivation,direct air capture
2010.0,785.7488450213042,65.3051765117839,265.8005343999087,84.87466955654176,52.19953920449499,61.80564700000001,0.0,0.0,0.0
2015.0,848.884301134728,71.93394705130171,286.7573756948322,91.28204259172477,58.19820569460439,66.04330000000002,0.0,0.0,0.0
2020.0,907.99905279505,78.72450054881249,306.4327482221702,98.57710053752409,64.33844862793497,70.765458,0.0,2.9908735639736466,0.0
2025.0,970.1328969162794,85.32376130825301,326.4397981123002,105.940264729693,64.48075386457606,75.73111999999999,1.0943780856631902,16.681062481177158,0.0
2030.0,1021.5230582565364,91.38690349932402,347.00937303398666,116.7365620620163,66.9165152715133,79.85729099999998,4.220247843560169,60.80829847424226,0.0
2035.0,1053.5606034618606,95.694956488445,356.5042816127582,131.4068386059253,68.05314745342903,82.879572,7.980790699952097,152.87300751828792,5.726549999999999e-10
2040.0,1057.1626954745798,100.26547606821501,348.94728543654037,144.77121941693147,69.75617717946274,85.56243,9.903254834205182,177.58956595618525,5.1687331243838415
2045.0,1076.1937122552736,105.46957266038697,342.79421307854614,155.41363754675078,72.58469047838,87.652091,10.571812958763001,181.4596469415308,20.173164446058358
2050.0,1103.9440646856208,110.53138199233402,349.23966979457794,165.48789838583707,75.52720764575997,89.14007700000003,10.555713655040181,182.30351707663098,27.079272479753605
2055.0,1113.6853800749507,111.49078369103302,352.549133333188,175.82889359787188,77.94795915070851,90.49347399999999,10.581635998152478,177.0667573895159,33.848287503212674
2060.0,1120.0062223738823,112.08622941908203,354.4971215870481,186.52943194882857,79.58737146212589,91.70702800000001,11.067445927560222,170.87049633021266,37.25962506797743
2065.0,1117.2623817255608,112.38614764039897,353.78254606546716,195.3276251705391,80.67144496833257,92.606928,12.19893767176084,161.3293245591347,41.36138873047851
2070.0,1113.1238545350793,112.33504713852004,351.85716917579146,203.48648337905743,81.28212527636063,93.141713,13.042591266543365,156.66695861327008,44.49221766274231
2075.0,1095.2336504144953,111.93605432770845,348.9668387422581,209.89852558481368,81.56530488103965,93.391773,13.350706478666034,154.9165602716179,45.994719964174315
2080.0,1081.1079278494074,111.21547067587703,346.7590476822998,216.11683822939148,81.66452405519006,93.397247,13.27823660841838,155.1827968431389,47.07468727047421
2085.0,1059.4018767008315,110.27506007623205,343.54726447265386,219.0177141728111,81.75997023648449,93.09376800000001,13.138704409976478,155.35957182465506,47.50802253194468
2090.0,1021.3939841607214,109.21116771286903,338.7963978268061,219.79496910509852,81.72357014543026,92.59272799999998,12.87177402131702,153.83855196081214,47.893224698967316
2095.0,997.5563970860826,108.03661701363598,334.42045031735165,221.29328123978578,81.41432191571975,91.918928,12.09571092332108,150.91609587580254,48.98054773977547
2100.0,978.7890771756906,106.70451942082799,329.51428467589335,221.23227804012828,80.8415086578124,91.015743,11.847094553017008,150.55297863504734,49.452240923865105
