year,food crop,non-food crop,bioenergy crop cultivation
2010,82.8771527016858,21.555544653284954,0.0
2015,88.40022681918617,23.621103592137622,0.0
2020,93.14383837715314,25.309203812200835,1.0928013762895257
2025,97.14470427831289,26.94438336559521,5.132269918045497
2030,100.74658895218388,28.755596395627155,16.13398351329138
2035,101.82245918870649,29.983884912445316,36.40829312428964
2040,102.95672995303919,30.645702873803693,41.21683734538043
2045,104.4523881653042,31.374470851986455,41.41671952265914
2050,105.76709510297692,32.3118156089053,40.89581752069447
2055,105.92206762925332,32.42560496099139,39.44085106856456
2060,105.82486954614696,32.48944538743207,37.92143359592764
2065,105.3844181381095,32.59891919000815,36.30004411003354
2070,104.80057779536665,32.47353873061468,35.23186668569157
2075,104.01612354784677,32.2694511252635,34.75602677128945
2080,103.07748284781499,32.0296271913983,34.58224728689558
2085,101.92684487939079,31.74117495608598,34.423319468236826
2090,100.68354085341902,31.414291414230213,34.033408275313604
2095,99.31500015324025,31.097585007020317,33.391013005385
2100,97.74296552002856,30.684001725802574,33.298570264574735
