year,food crop,meat and dairy,non-food crop,electricity,industry,municipal water,bioelectricity CCS,bioenergy crop cultivation,direct air capture
2010.0,785.7488450213042,65.3051765117839,265.8005343999087,84.87466955654176,52.19953920449499,61.80564700000001,0.0,0.0,0.0
2015.0,848.884301134728,71.93394705130171,286.7573756948322,91.28204259172477,58.19820569460439,66.04330000000002,0.0,0.0,0.0
2020.0,907.99905279505,78.72450054881249,306.4327482221702,98.57710053752409,64.33844862793497,70.765458,0.0,2.9908735639736466,0.0
2025.0,970.1328969162794,85.32376130825301,326.4397981123002,105.940264729693,64.48075386457606,75.73111999999999,1.0943780856631902,16.681062481177158,0.0
2030.0,1021.5230582565364,91.38690349932402,347.00937303398666,116.7365620620163,66.9165152715133,79.85729099999998,4.220247843560169,60.80829847424226,7.47515e-10
2035.0,1058.5145349843533,96.43638809073002,358.2817113795187,130.00718981272442,68.81650499146483,82.88644700000002,7.126833364789974,127.69880771177978,14.293566635880033
2040.0,1068.7769558946825,102.12576706290899,351.3561908120225,141.39576389116866,71.9247024206784,85.52784699999997,8.265313450881727,140.0529258945613,37.739364078890354
2045.0,1088.462282431078,107.59161791552205,345.6759797182246,151.4202354950738,74.94577383535089,87.64922299999998,8.820361159739402,147.31813681999873,52.270552650860566
2050.0,1116.258401516702,112.837496711544,352.7828740310593,160.74101529336835,77.17368295247687,89.12475399999998,9.116397670227393,150.5749586360594,56.538866011109455
2055.0,1125.3135033769001,113.81524158406702,357.10082054839484,171.1355726252723,79.09944144518212,90.485989,9.504153528616051,149.11523380629802,61.6545542407106
2060.0,1129.6264157293776,114.44793224854297,358.4108813139238,181.20741177941724,80.78815141376467,91.689998,9.90356967591659,145.29168937420454,65.0650196746834
2065.0,1126.0412747756995,114.75651818133696,355.9528187764506,189.78977112337486,81.87164742421174,92.619069,10.49735816090379,138.05334580013815,68.78584893229313
2070.0,1121.9354988349025,114.70081333026,354.93559487496805,197.762562350518,82.38394669937198,93.132747,11.081019861706682,135.19785201122843,71.2776710625464
2075.0,1105.2743785332084,114.27579138686202,352.74128388045574,204.90984456345834,82.59730110919055,93.34231799999998,11.456314465470399,134.7216151515422,72.24512926769377
2080.0,1089.385240418569,113.54424149774799,350.6603886152676,211.02777514274382,82.62731475771847,93.350016,11.608624179376172,136.05519109544272,72.86418086128387
2085.0,1071.0698216544288,112.61044303136599,347.90704534838306,213.23207048641197,82.52829404002556,93.04678199999996,11.679616002480856,136.62039323147292,73.22788465475212
2090.0,1037.8900599890164,111.54322865655202,343.34123745331993,213.96246007202694,82.19768886793419,92.592261,11.393092833202065,134.79804637885022,73.78774030761114
2095.0,1005.4106382420542,110.340768344775,338.51047522805476,216.00400220312014,81.76967276622126,91.896167,10.720253717197323,132.39851008625016,74.69775597204361
2100.0,985.404386510638,109.04205583024,333.4989065561012,216.08896459697127,81.48671065637149,90.97675999999998,10.796251101636996,132.18077026061593,75.84430211627976
