year,food crop,non-food crop,bioenergy crop cultivation
2010,82.8771527016858,21.555544653284954,0.0
2015,88.40022681918617,23.621103592137622,0.0
2020,93.14383837715314,25.309203812200835,1.0928013762895257
2025,97.14470427831289,26.94438336559521,5.132269918045497
2030,100.74658895218388,28.755596395627155,16.13398351329138
2035,102.46863276828314,30.100244570657825,30.976493615608252
2040,104.23031543261521,30.952055485082315,33.389584362668735
2045,105.8155476945037,31.832129752086512,34.510574333195585
2050,107.20171302054715,32.88258957581492,34.62206316183388
2055,107.24271590514117,33.12838815537344,34.07394815546623
2060,106.98556783094449,33.19980983050815,33.06833743472425
2065,106.39171558752147,33.19019309454485,31.85880459848238
2070,105.71250364602751,33.13754233798165,31.104572115642203
2075,104.85674592215942,33.01544177252979,30.93809339538621
2080,103.81556927068014,32.807347907817565,31.00957316009089
2085,102.60035360185367,32.54749991183395,30.938242145318046
2090,101.31371941036227,32.23883929764622,30.41483475040411
2095,99.89697156950108,31.894592283344814,29.819562014281512
2100,98.31481418270052,31.495437241726222,29.76900278532999
