,GCAM_basin_ID,Basin_name,GLU_code,GLU_name,ISO,ISO_NUM,Country_name,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,sector
0,1,Arctic_Ocean_Islands,GLU001,ArcticIsl,GRL,304,Greenland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,biomass
1,2,Northwest_Territories,GLU002,NWTerr,CAN,124,Canada,0.0,0.0,0.0,0.0,0.023652498836,0.053174243949,0.10204459119,0.203940907297,0.381371793481,0.6305753050758,0.6942209352120001,0.6649803574421399,0.6371081135179371,0.5950822726801199,0.5511083390715,0.510802563472923,0.478663148699815,0.45155595273238003,0.42852193499,0.40560291567,0.38040178704,biomass
2,3,Siberia_North_Coast,GLU003,SiberiaN,RUS,643,Russian Federation,0.0,0.0,0.0,0.0,7.44816e-07,1.0110380000000001e-06,4.11678e-07,3.9863199999999997e-07,3.9419199999999996e-07,4.0311999999999997e-07,3.97184e-07,3.87838e-07,3.8037e-07,3.72038e-07,3.6414000000000003e-07,3.5730200000000006e-07,3.5189999999999997e-07,3.47282e-07,3.43272e-07,3.3953600000000003e-07,3.3557200000000004e-07,biomass
3,4,Siberia_West_Coast,GLU004,SiberiaW,RUS,643,Russian Federation,0.0,0.0,0.0,0.0,0.00396595793,0.008346119499999999,0.0196869724,0.0644494183,0.1641933283,0.39039511515900005,0.48602612442330007,0.49254738855082003,0.499210142015073,0.495398163160525,0.488430085878934,0.483922196334435,0.483893804076094,0.483287306191623,0.48302936299242605,0.48086262184812,0.47493234163933096,biomass
4,5,Kara_Sea_Coast,GLU005,KaraSea,RUS,643,Russian Federation,0.0,0.0,0.0,0.0,1.634132e-06,2.04464e-06,5.677340000000001e-07,4.7233e-07,4.59678e-07,4.69962e-07,4.6049e-07,4.4652e-07,4.35404e-07,4.23098e-07,4.1148000000000003e-07,4.01446e-07,3.93532e-07,3.8678400000000003e-07,3.80938e-07,3.7550400000000005e-07,3.6976e-07,biomass
5,6,Lena,GLU006,LenaR,RUS,643,Russian Federation,0.0,0.0,0.0,0.0,8.11449221,16.02548148,29.063948869999997,58.47694195,109.50908845,179.06513715870003,196.652939675236,195.313452842773,194.64431912116768,191.85129491835258,188.24520111747302,185.1723699011912,183.31801458352516,181.50622504307435,179.947978121555,177.9507255124844,174.81471351454894,biomass
6,7,Pacific_and_Arctic_Coast,GLU007,PacArctic,USA,840,United States,0.0,0.0,0.0,0.0,0.0404617196,0.08884457479999999,0.18789049212,0.4766197109,1.0424851245600002,1.997250929394,2.24989060505887,2.2452917166289703,2.2378838355599098,2.1937589463587632,2.1421841055453252,2.0985884249775,2.0761194603952497,2.06341263375467,2.06094313909589,2.05497095313891,2.0381566674599494,biomass
7,8,Scandinavia_North_Coast,GLU008,ScndnvN,NOR,578,Norway,0.0,0.0,0.0,0.0,1.4764977163,2.53513398822,4.036752073224,7.123557740218001,12.439926049812,21.269189040756,22.968947045502002,22.246242205618,22.063282914591998,21.734422543073997,21.353921055491,20.956499169656,20.849373838726006,20.783219096011003,20.734570730871198,20.5368677506642,20.219432095025596,biomass
8,9,Russia_Barents_Sea_Coast,GLU009,BarentsSea,RUS,643,Russian Federation,0.0,0.0,0.0,0.0,0.1649869252353,0.33283978588830004,0.6236685665249,1.3328085200611999,2.6855837225058004,5.0902357770295135,5.7750572626778,5.635443183266568,5.5389258156015995,5.35192697137322,5.14267253317567,4.9672527607829196,4.851032158914585,4.743945053589622,4.65126424489481,4.546934202819299,4.4037159186889,biomass
9,10,Mackenzie,GLU010,Mackenzie,CAN,124,Canada,0.0,0.0,0.0,0.0,0.15676859157200002,0.347233985383,0.6588209915700001,1.34215603119,2.5710616174200003,4.32449830481095,4.796181663649259,4.625575634042392,4.46089169165855,4.20048595250547,3.922499848927709,3.6644741870705992,3.4585696777701997,3.283985854069789,3.135230596709299,2.9842972782323467,2.813980516899509,biomass
10,11,Iceland,GLU011,Iceland,ISL,352,Iceland,0.0,0.0,0.0,0.0,2.72158e-07,3.91463e-07,1.4128690000000002e-07,1.309293e-07,1.3970189999999997e-07,1.55304499e-07,1.55306e-07,1.532e-07,1.5242300000000001e-07,1.51297e-07,1.5002100000000002e-07,1.48783e-07,1.48017e-07,1.4734000000000002e-07,1.4673e-07,1.4588499999999999e-07,1.4492e-07,biomass
11,12,Sweden,GLU012,Sweden,SWE,752,Sweden,0.0,0.0,0.0,0.0,3.7176421849,7.2727057770000005,11.997670245,21.817485239000003,36.390732942999996,50.972039162090006,50.608387123494005,49.477968519175995,48.38597578847279,46.6855459013252,45.213100922245005,44.01100621212497,43.29140946136415,42.833255958063184,42.612343455943,42.35191066960573,41.857970714218766,biomass
12,13,Finland,GLU013,Finland,FIN,246,Finland,0.0,0.0,0.0,0.0,1.3878867058118,2.6724010885371,4.417568463942501,8.1508486023404,13.943643190502698,21.216965711707285,22.155963293495248,21.706434129762574,21.272147831943382,20.577810532753897,19.987790914854404,19.521946260618297,19.265897644686618,19.121872259223498,19.0812026348105,19.026733279632282,18.87779709506413,biomass
