year,bioenergy crop cultivation,food crop,forest,pasture,grassland/shrubland,non-food crop,other arable land,non-arable land
2010.0,0.0,8.269359076234007,30.024750037689003,33.02956870275156,31.750395943877987,3.290926581131096,3.7046475058090005,21.616585596662997
2015.0,0.0,8.471370428528537,30.036451689472,33.00430644069886,31.642524334958985,3.4337176632661293,3.481275881317998,21.616585596662997
2020.0,0.2273993071466019,8.587597388301516,30.032412591674998,32.95915097221715,31.52134002258798,3.5029947447080896,3.2387497927860003,21.616585596662997
2025.0,0.460095175317134,8.666783358848855,30.05338995162,32.934339238116806,31.396688601706987,3.5609927173431326,2.997355918831001,21.616585596662997
2030.0,0.8010154887128689,8.552890949103283,30.315920835211195,32.878086678865714,31.281615105098982,3.525250704870322,2.7148681140357995,21.616585596662997
2035.0,1.5828042558411297,8.20285675230186,30.69728851228277,32.69943837857419,31.162810100427986,3.3605223868572303,2.3639236394664995,21.616585596662997
2040.0,2.859697066827204,7.846109948214739,30.823567687212776,32.38487499517763,30.999674431173986,3.164421542518054,1.9913018597965009,21.616585596662997
2045.0,4.653444275051495,7.327815859587188,30.84402919138466,31.925373126424866,30.800759839389986,2.9035112310774593,1.6147098682657985,21.616585596662997
2050.0,5.105118942394833,7.144968388484492,30.928852427563797,31.799320231114812,30.747163869007988,2.8074491903625973,1.5367746154591198,21.616585596662997
2055.0,5.038753778466871,7.1180328945874685,31.039268626473476,31.79363885492147,30.75508161911599,2.767488925174737,1.5573786736195814,21.616585596662997
2060.0,4.972846798866565,7.080079605035997,31.136937853351668,31.79403450197159,30.76815781893399,2.7325037461213464,1.5850874881610382,21.616585596662997
2065.0,4.837473509191312,7.02835117959554,31.24049366058332,31.8223209156312,30.79583706889839,2.707607249480407,1.6375607981171105,21.616585596662997
2070.0,4.688418114722043,6.967244297778354,31.341338629903365,31.867207000841617,30.830824857036387,2.673156065656946,1.7014575525088196,21.616585596662997
2075.0,4.55041743237746,6.895955835189572,31.43277157189215,31.915277807674187,30.868215740810186,2.638310203591473,1.7686968872587594,21.616585596662997
2080.0,4.461186221784154,6.808971498891044,31.508679131148316,31.953830693118388,30.903468599456584,2.6019016180774015,1.8316093237012807,21.616585596662997
2085.0,4.396728255759711,6.71081126345061,31.57267998781417,31.9951156569249,30.938452592097587,2.5606567303329766,1.8952031032177692,21.616585596662997
2090.0,4.349754053028112,6.605188193926755,31.626549461831537,32.03989411866929,30.973532603790986,2.5159196450519565,1.9588084783121602,21.616585596662997
2095.0,4.294188297256255,6.497199140925674,31.675277038308817,32.09168099683258,31.011135933306683,2.4721490217424664,2.028020028270008,21.616585596662997
2100.0,4.209313006635853,6.386944819464171,31.72598082076518,32.15683800361233,31.053570891260783,2.4291739878778724,2.107823474690549,21.616585596662997
