year,natural gas CCS,natural gas,oil CCS,oil,coal CCS,coal,nuclear,renewables,biomass,biomass CCS,dac process heat
2010,0.0,117.94855537546394,0.0,177.94782917961018,0.0,145.69068269389945,10.331143068848064,14.22737345146538,54.222513296649176,0.0,0.0
2015,0.0,131.38664452672484,0.0,187.50320383729883,0.0,168.6205906880255,11.19998478756593,15.518211613503883,55.87902738426813,0.0,0.0
2020,0.0,145.83988756905433,0.0,200.62264830370262,0.0,191.2348875700213,12.215888370732415,17.14207507208522,59.98908255735893,0.0,0.0
2025,2.2128953152106727,157.76149041491541,1.9747388043996448,214.94929171094375,0.27977586615237515,206.24519324385238,13.142872164398307,19.241569227698502,66.67044336243256,0.93142907657812,0.0
2030,8.119461506171945,166.64051074979338,4.4453841585827485,222.68564689938904,1.698671523547982,188.99279094626868,15.38530805498137,23.032751529355078,81.62455053277192,3.3510326615616584,0.0
2035,31.200956668805947,144.69448267532573,12.61893279032882,210.89011305084782,24.646251824174506,120.56141670289593,29.202367766625372,36.83197256783007,92.27962633802709,22.62050855268444,0.0
2040,60.348471543478574,123.43833457481352,19.448242506578783,193.2745432601197,54.30184989444932,41.276922404504674,47.35370504959328,54.7726314667042,82.22019264853623,68.61438323703665,0.0
2045,88.00663476480331,87.36325644828706,26.56110764816903,165.27673922196053,70.0188204714356,9.470782325910482,63.662287737851045,75.86291378216697,53.96743338646642,150.40914913593815,2.5144770000000005e-09
2050,105.97703599928664,127.08624555868522,27.454480631237,151.60484994644256,76.42754294745144,6.6138681774643695,72.88149173662819,94.4673169198439,46.138079929069065,177.87722389564942,46.0509196002707
2055,116.88271622007667,170.190048736223,25.96610990658369,150.42382396771328,80.61185095382358,6.464208366761207,80.3665470682483,109.1335659179343,43.326234545277266,181.51464943874325,82.84827517034765
2060,128.7317383561101,214.16100783755797,21.740349476231295,147.12193831972917,83.84649247129731,6.151860918219112,88.84412393911501,125.73835944298753,40.44884659805581,184.95078205702598,119.55306883928509
2065,139.63643260857162,242.75558508758635,17.109784605084858,145.9161362484882,87.5641093300453,5.945110841949627,98.89465168173679,136.27677375550627,37.83527578613493,185.6095386794941,138.82885657508933
2070,151.7290132712072,269.3037585232645,12.243169923006509,144.68339914146569,92.19976824761908,5.670106646030911,107.7295397382692,142.81949735551868,34.91023526323312,184.3777423355324,153.3685212604781
2075,156.15198124241283,293.713894079126,8.463684927308009,141.14170803523103,96.69339855839719,5.3115924976770685,115.37086678495646,151.1795690566544,32.83097992120604,183.16836544438,165.5208429747293
2080,144.41525477608934,310.8666688607832,6.373134811228058,136.89657025799656,100.34638473289542,4.9580328519550765,122.75673003510187,164.24205849629297,31.01658494862717,183.5252705087773,170.9206627153593
2085,126.95088739324936,326.3558038993222,4.920901700204207,133.5868293160546,104.31964767717123,4.646777422759191,130.29898488374354,178.7348657193927,28.684107652537023,184.2946845427442,175.01593618631134
2090,112.58898558250525,339.9767957657262,4.011519328400763,131.64141699647845,107.17974691909866,4.363236886065285,136.01927553380784,191.61756857086195,25.68764677334797,185.31027953590007,178.904371344808
2095,107.99730563779383,353.8561128129171,3.3562344504718857,130.8916817874219,98.97121132063131,4.114445734418153,133.78919456318334,208.65321569389323,22.472279223220166,185.41479802677154,183.01609869325256
2100,112.13720957849381,370.43796769315696,3.1916606067169537,130.60011267087,84.13664673470035,3.8765110868607775,126.01837262135359,227.49451592613838,19.674573661633012,183.58651216811862,188.6596509080083
