year,food crop,non-food crop,bioenergy crop cultivation
2010,82.8771527016858,21.555544653284954,0.0
2015,88.40022681918617,23.621103592137622,0.0
2020,93.14383837715314,25.309203812200835,1.0928013762895257
2025,97.56057365666496,26.983162067140512,2.3222228254295425
2030,101.31417580107178,28.631453544875228,4.377878488861761
2035,103.82562031306013,30.33363497384577,9.798064574686821
2040,105.45093539075364,31.346138137116426,19.783382446820603
2045,105.58612076280447,31.954508071426158,33.54870375852235
2050,106.15841209384585,32.564676601349795,37.64009628120586
2055,106.11489824085639,32.559718072607836,37.652526471772816
2060,105.88229899204897,32.529420046271646,37.63915672093472
2065,105.40632783228585,32.60342881231994,37.08014721806862
2070,104.70526101425277,32.441191850868435,36.377451841694544
2075,103.85645063290173,32.199600050598775,35.70761420994442
2080,102.84608740701114,31.975356956652373,35.35145409013945
2085,101.67355541638868,31.67174235364878,35.149865947980885
2090,100.37097344020975,31.297191986712527,35.07395435046597
2095,99.0057592282723,30.92949155725307,34.87659058176454
2100,97.59056618067956,30.56944530973813,34.412182694419734
